task,attempt_id,method,old_cost,new_cost,delta_cost,old_points,new_points,delta_points,local_valid,artifact_path,accepted,notes
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,28483,0.0,,14.742937302942996,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,193453,-164970.0,,12.827210132108412,,True,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,181117,-152634.0,,12.893101489744463,,True,data/interim/submission1_compare/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,191458,-162975.0,,12.837576257600388,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task158.onnx,False,
task158,artifact_scan_top5,public/local_artifact_reuse_full_validate,28483.0,466172,-437689.0,,11.947690056279944,,True,data/external/public_bundles/octaviograu_manual_rewrites_v205/extracted/submission/task158.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,26909,0.0,,14.799783917876258,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,168431,-141522.0,,12.965718550640606,,True,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,162199,-135290.0,,13.00342074458367,,True,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,474810,-447901.0,,11.929329997004562,,True,data/interim/afr1ste_6335_batchcompress_rewrite/task286.onnx,False,
task286,artifact_scan_top5,public/local_artifact_reuse_full_validate,26909.0,,,,,,False,data/external/datasets/afr1ste_6335/task286.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,25394,0.0,,14.857731795370263,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,150548,-125154.0,,13.07796275080141,,True,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,306339,-280945.0,,12.367552389133587,,True,data/external/public_kernel_outputs/jonathan_zip/official_001_400/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,378352,-352958.0,,12.15641974178056,,True,data/interim/afr1ste_6335_batchcompress_rewrite/task054.onnx,False,
task054,artifact_scan_top5,public/local_artifact_reuse_full_validate,25394.0,,,,,,False,data/external/datasets/afr1ste_6335/task054.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,14642,0.0,,15.408350609793413,,True,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task364.onnx,False,
task364,artifact_scan_top5,public/local_artifact_reuse_full_validate,14642.0,,,,,,False,data/external/public_bundles/beicicc_6645/extracted/task364.onnx,False,
